НомерСделки,ДатаСделки,КолвоСчетов,НомерСчета,ДатаСчета,Сумма
CR072989,4025-07-18 00:00:00,2,CR089850,4025-07-18 16:20:00,14513.67
CR072996,4025-07-16 21:49:51,2,CR091039,4025-07-30 15:08:39,150.0
CR072996,4025-07-16 21:49:51,2,CR091038,4025-07-31 19:08:27,8000.0
CR073000,4025-07-17 09:16:14,2,CR092282,4025-08-29 11:55:38,2316.0
CR073000,4025-07-17 09:16:14,2,CR092283,4025-08-29 11:55:38,3088.58
CR073004,4025-07-17 10:52:08,2,CR098097,4025-11-27 15:56:42,4181.0
CR073004,4025-07-17 10:52:08,2,CR098098,4025-11-27 15:56:48,1870.0
CR073009,4025-07-17 11:42:47,2,CR091054,4025-07-21 00:00:00,1200.0
CR073009,4025-07-17 11:42:47,2,CR091099,4025-08-07 10:10:24,75.0
CR073011,4025-07-17 12:21:01,2,CR090698,4025-08-04 10:27:52,58021.44
CR073011,4025-07-17 12:21:01,2,CR090700,4025-08-04 10:31:58,8944.97
CR073020,4025-07-17 14:16:20,2,CR090469,4025-07-31 16:33:21,100.0
CR073020,4025-07-17 14:16:20,2,CR090470,4025-07-31 16:33:24,600.0
CR073025,4025-07-17 14:34:07,2,CR090209,4025-07-28 12:28:01,0.0
CR073025,4025-07-17 14:34:07,2,CR090211,4025-07-28 12:30:29,0.0
CR073067,4025-07-18 10:34:59,2,CR090349,4025-07-30 14:44:11,112879.0
CR073067,4025-07-18 10:34:59,2,CR090350,4025-07-30 14:44:14,-2000.0
CR073068,4025-07-18 10:36:48,2,CR090460,4025-07-31 16:23:01,204762.85
CR073068,4025-07-18 10:36:48,2,CR090462,4025-07-31 16:23:23,57885.77
CR073090,4025-07-18 14:24:46,2,CR094810,4025-10-07 12:30:05,0.0
CR073090,4025-07-18 14:24:46,2,CR094812,4025-10-07 12:36:29,41992.0
CR073124,4025-07-21 09:36:42,2,CR090085,4025-07-24 09:28:41,230749.39
CR073124,4025-07-21 09:36:42,2,CR091224,4025-08-08 13:03:04,350.0
CR073139,4025-07-21 13:32:06,2,CR092320,4025-08-29 13:26:21,750.0
CR073139,4025-07-21 13:32:06,2,CR092532,4025-08-31 00:00:00,0.0
CR073140,4025-07-21 13:32:44,2,CR092541,4025-08-29 00:00:00,0.0
CR073140,4025-07-21 13:32:44,2,CR092319,4025-08-29 13:25:30,0.0
CR073142,4025-07-21 13:44:44,2,CR089959,4025-07-22 14:20:21,40253.4
CR073142,4025-07-21 13:44:44,2,CR089960,4025-07-22 14:23:55,22861.6
CR073149,4025-07-21 14:58:39,2,CR090355,4025-07-30 15:02:07,1700.0
CR073149,4025-07-21 14:58:39,2,CR090356,4025-07-30 15:02:15,200.0
CR073156,4025-07-21 15:45:28,2,CR089965,4025-07-22 14:59:31,0.0
CR073156,4025-07-21 15:45:28,2,CR089966,4025-07-22 14:59:35,100.0
CR073185,4025-07-21 22:52:30,2,CR090309,4025-07-29 17:27:59,7140.0
CR073185,4025-07-21 22:52:30,2,CR090827,4025-07-31 00:00:00,4000.0
CR073205,4025-07-22 10:12:12,2,CR089939,4025-07-22 11:39:48,1500.0
CR073205,4025-07-22 10:12:12,2,CR089940,4025-07-22 11:39:57,350.0
CR073210,4025-07-01 00:00:00,2,CR089992,4025-07-01 00:00:00,35837.24
CR073210,4025-07-01 00:00:00,2,CR094060,4025-09-01 00:00:00,-35837.24
CR073214,4025-07-22 10:50:06,2,CR090531,4025-08-01 10:50:25,17782.88
CR073214,4025-07-22 10:50:06,2,CR090557,4025-08-01 12:03:58,7762.88
CR073241,4025-07-22 12:50:42,2,CR090440,4025-07-22 00:00:00,0.0
CR073241,4025-07-22 12:50:42,2,CR090441,4025-07-22 00:00:00,800.0
CR073255,4025-07-22 14:55:07,2,CR092049,4025-08-27 11:43:48,8300.0
CR073255,4025-07-22 14:55:07,2,CR092053,4025-08-27 11:56:10,10.0
CR073260,4025-07-22 15:40:38,2,CR092213,4025-08-29 08:20:58,1194.18
CR073260,4025-07-22 15:40:38,2,CR092214,4025-08-29 08:20:58,2500.0
CR073261,4025-07-22 15:45:41,2,CR092215,4025-08-29 08:22:46,800.0
CR073261,4025-07-22 15:45:41,2,CR092216,4025-08-29 08:22:46,2100.0
CR073279,4025-07-22 22:52:04,2,CR091901,4025-08-22 14:05:22,600.0
CR073279,4025-07-22 22:52:04,2,CR091902,4025-08-22 14:05:25,3000.0
CR073282,4025-07-23 00:19:58,2,CR091114,4025-08-07 11:12:24,2370.0
CR073282,4025-07-23 00:19:58,2,CR091115,4025-08-07 11:12:47,240.0
CR073283,4025-07-21 23:55:55,2,CR090068,4025-07-21 00:00:00,20640.0
